food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"CAMPBELL,CAMPBELL'S RED&WHITE,CRM OF CHIC W/ HERBS SOUP,COND",65.0,1.61,7.26,3.23,645.0,0.0
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF MUSHROOM SOUP,COND",81.0,0.81,7.26,4.84,702.0,0.0
"CAMPBELL,CAMPBELLS RED&WHITE,CRM OF MSHRM W/ RSTD GARLC,COND",56.0,1.61,8.06,2.02,387.0,0.0
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF ONION SOUP,COND",81.0,0.81,8.06,4.84,645.0,0.0
"CAMPBELL, CAMPBELL'S RED & WHITE,CRM OF POTATO SOUP,COND",73.0,1.61,12.1,1.61,484.0,0.0
"CAMPBELL,CAMPBELL'S RED & WHITE,CRM OF SHRIMP SOUP,COND",81.0,2.42,6.45,4.84,694.0,0.0
"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK NOODLE SOUP,COND",97.0,3.23,8.87,5.65,702.0,0.0
"CAMPBELL,CAMPBELL'S RED&WHITE,CREAMY CHICK VERDE SOUP,COND",89.0,1.61,8.06,5.65,629.0,0.0
"COMPANY,CAMPBELL'S RED & WHITE,CURLY NOODLE SOUP,COND",63.0,3.17,8.73,1.59,381.0,0.0
"CAMPBELL'S RED & WHITE,DANNY PHANTOM SHAPED PASTA",56.0,3.17,7.94,1.59,444.0,0.0
"CAMPBELL'S RED & WHITE,DORA THE EXPLORER SOUP,COND",63.0,2.38,10.32,1.59,381.0,0.0
"CAMPBELL'S RED & WHITE,DOUBLE NOODLE IN CHICK BROTH SOP,COND",87.0,2.38,15.87,1.59,381.0,0.0
"CAMPBELL'S RED & WHITE,OLD FASHIONED TOMATO RICE SOUP,COND",87.0,0.79,18.25,1.59,611.0,0.0
"CAMPBELL'S RED & WHITE,FIESTA NACHO CHS SOUP,COND",97.0,2.42,8.06,6.45,637.0,0.0
"CAMPBELL'S RED & WHITE,FRENCH ONION SOUP,COND",36.0,1.59,4.76,1.19,516.0,0.0
"CAMPBELL'S RED & WHITE,GOLDEN MUSHROOM SOUP,COND",65.0,1.61,8.06,2.82,524.0,0.0
"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ CHICK",63.0,2.38,9.52,1.59,381.0,0.0
"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME MILK",79.0,2.51,11.73,2.63,442.0,0.0
"SOUP,TOMATO,CND,PREP W/ EQ VOLUME LOFAT (2%) MILK",55.0,2.49,8.95,1.3,210.0,0.0
"CAMPBELL'S RED & WHITE,GOLDFISH PASTA W/ MEATBALL",71.0,3.17,8.73,2.38,381.0,0.0
"CAMPBELL'S RED & WHITE,GRN PEA SOUP,COND",141.0,7.03,21.88,2.34,680.0,0.0
"CAMPBELL'S RED & WHITE,HEARTY VEG W/ PASTA SOUP,COND",71.0,2.38,15.08,0.4,706.0,0.0
"CAMPBELL'S RED & WHITE,HOMESTYLE CHICK NOODLE SOUP,COND",56.0,3.17,7.94,1.59,516.0,0.0
"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND",48.0,1.59,9.52,0.4,698.0,0.0
"CAMPBELL'S RED & WHITE,MEGA NOODLE IN CHICK BROTH,COND",71.0,2.38,11.9,1.59,381.0,0.0
"CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND",71.0,3.17,13.49,0.79,516.0,0.0
"CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND",71.0,3.17,10.32,1.98,516.0,0.0
"COMPANY,CAMPBELL'S RED & WHITE,OYSTER STEW,COND",63.0,2.38,2.38,4.76,722.0,0.0
"SOUP COMPANY,CAMPBELL'S RED & WHITE,PEPPER POT SOUP,COND",71.0,3.97,7.14,3.17,778.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHT,SCOTCH BRTH,COND",48.0,2.42,8.06,0.81,694.0,0.0
"CAMPBELL'S RED & WHITE,STHWEST STYLE PEPPER JCK SP,COND",89.0,1.61,10.48,4.84,710.0,0.0
"CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND",71.0,2.38,14.29,0.4,381.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,VEG SOUP,COND",79.0,3.17,16.67,0.4,516.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,VEG BF SOP,COND",71.0,3.97,11.9,0.79,706.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL RED & WHITE,TOMATO SOUP,COND",71.0,1.46,15.22,0.44,377.0,0.0
"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND",103.0,1.59,18.25,2.78,698.0,0.0
"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",141.0,7.81,23.44,1.56,664.0,0.0
"CAMPBELL'S RED & WHITE,SOUTHWESTERN-STYLE CHICK VEG SOP,COND",87.0,3.97,16.67,0.79,659.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",78.0,2.04,9.39,3.67,322.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82.0,3.27,8.57,4.08,343.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BARBEQUE SEASONED BURGER SOUP",84.0,4.08,11.43,2.45,367.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BBQ SEASONED PORK SOUP",68.0,4.9,8.98,1.43,376.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BF RIB RST POTATOES HERBS SOUP",44.0,2.86,6.94,0.41,363.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",53.0,3.27,7.35,1.22,376.0,0.0
"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",57.0,3.27,9.8,0.61,363.0,0.0
"CAMPBELL'S CHUNKY SOUPS,CHICK & DUMPLINGS SOUP",74.0,3.27,7.76,3.27,363.0,0.0
"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",86.0,2.86,8.16,4.49,359.0,0.0
"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82.0,2.86,8.16,4.08,351.0,0.0
"CAMPBELL'S CHUNKY SOUPS,CHICK MUSHROOM CHOWDER",78.0,3.27,7.76,3.67,347.0,0.0
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,CLASSIC CHICK NDLE SOUP",47.0,3.41,5.41,1.3,325.0,0.0
"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",53.0,2.86,9.39,0.61,347.0,0.0
"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",95.0,6.12,10.2,3.27,355.0,0.0
"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",57.0,2.86,8.57,1.22,347.0,0.0
"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP",41.0,2.45,5.71,1.02,359.0,0.0
"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME H2O",35.0,0.94,4.38,1.68,402.0,0.0
"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",46.0,2.42,7.71,0.66,487.0,0.0
"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",53.0,3.27,7.76,0.82,363.0,0.0
"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63.0,2.88,8.31,2.16,349.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST CHICK NOODLE SOUP",49.0,3.27,6.94,1.02,167.0,0.0
"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",75.0,3.99,8.8,2.79,437.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP",49.0,1.63,9.8,0.41,167.0,0.0
"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",34.0,1.93,3.58,1.23,381.0,0.0
"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME H2O",37.0,0.68,3.62,2.29,254.0,0.0
"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",63.0,2.19,4.26,4.24,388.0,0.0
"SOUP,CHICK W/ DUMPLINGS,CND,PREP W/ EQ VOLUME H2O",40.0,2.33,2.51,2.29,305.0,0.0
"SOUP,CHICK BROTH,CND,PREP W/ EQ VOLUME H2O",16.0,2.02,0.38,0.57,306.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEARTY BEAN 'N' HAM SOUP",74.0,4.49,12.24,0.82,318.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEARTY BF BARLEY SOUP",65.0,3.67,10.61,0.82,322.0,0.0
"SOUP,CRM OF CHICK,CND,PREP W/ EQ VOLUME H2O",48.0,1.41,3.8,3.02,347.0,0.0
"SOUP,CHICK GUMBO,CND,PREP W/ EQ VOLUME H2O",23.0,1.08,3.43,0.59,391.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEARTY CHICK W/ VEG SOUP",45.0,2.45,6.94,0.82,290.0,0.0
"SOUP,CHICK NOODLE,CND,PREP W/ EQ VOLUME H2O",25.0,1.27,2.95,0.95,349.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HEARTY VEG W/ PASTA SOUP",51.0,1.63,9.39,0.82,380.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HERB RSTD CHICK POTATOES GARLIC SOUP",46.0,3.27,6.94,0.61,355.0,0.0
"SOUP,CHICK W/ RICE,CND,PREP W/ EQ VOLUME H2O",24.0,1.45,2.92,0.78,238.0,0.0
"CAMPBELL'S CHUNKY SOUPS,HONEY RSTD HAM W/ POTATOES SOUP",55.0,3.27,8.16,1.02,331.0,0.0
"SOUP,CHICK VEG,CND,PREP W/ EQ VOLUME H2O",31.0,1.5,3.56,1.18,392.0,0.0
"SOUP,CHILI BF,CND,PREP W/ EQ VOLUME H2O",57.0,2.49,9.23,1.24,388.0,0.0
"CAMPBELL'S CHUNKY SOUPS,ITALIAN SAUSAGE & PEPPERS SOUP",62.0,2.86,8.16,2.04,327.0,0.0
"SOUP,CLAM CHOWDER,MANHATTAN,CND,PREP W/EQ VOLUME H2O",30.0,0.85,4.77,0.86,226.0,0.0
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,MANHATTAN CLAM CHOWDER",52.0,2.04,7.76,1.43,339.0,0.0
"SOUP,CLAM CHOWDER,NEW ENGLAND,CND,PREP W/ EQ VOLUME H2O",35.0,1.55,5.05,1.01,254.0,0.0
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,NEW ENGLAND CLAM CHOWDER",81.0,2.46,9.01,3.85,353.0,0.0
"SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O",12.0,2.22,0.73,0.0,264.0,0.0
"CAMPBELL'S CHUNKY SOUPS,OLD FASHIONED POTATO HAM CHOWDER",78.0,2.45,6.94,4.49,327.0,0.0
"CAMPBELL SOUP COMPANY CHUNKY SOUPS,OLD FASHIONED VEG BF SOUP",49.0,3.16,6.24,1.23,346.0,0.0
"CAMPBELL'S CHUNKY SOUPS,PEPPER STEAK SOUP",48.0,3.27,7.35,0.61,327.0,0.0
"CAMPBELL'S CHUNKY SOUPS,PORK RST CARROTS POTATOES SOUP",50.0,3.27,6.53,1.22,363.0,0.0
"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",95.0,6.12,10.2,3.27,359.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SALISBURY STEAK MUSHRMS ONIONS SOUP",57.0,2.86,7.76,1.84,327.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SAVORY CHICK WHITE WILD RICE SOUP",45.0,2.86,7.35,0.82,331.0,0.0
"SOUP,MINESTRONE,CND,PREP W/ EQ VOLUME H2O",34.0,1.77,4.66,1.04,254.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SAVORY POT RST SOUP",49.0,2.86,8.16,0.41,322.0,0.0
"SOUP,MUSHROOM BARLEY,CND,PREP W/ EQ VOLUME H2O",30.0,0.77,4.8,0.93,365.0,0.0
"SOUP,CRM OF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",42.0,0.79,3.29,2.88,318.0,0.0
"SOUP,MUSHROOM W/ BF STOCK,CND,PREP W/ EQ VOLUME H2O",35.0,1.29,3.81,1.65,397.0,0.0
"SOUP,ONION,CND,PREP W/ EQ VOLUME H2O",23.0,1.5,3.27,0.7,423.0,0.0
"SOUP,CRM OF ONION,CND,PREP W/ EQ VOLUME H2O",44.0,1.13,5.2,2.16,380.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SAVORY VEG SOUP",44.0,1.22,8.98,0.41,314.0,0.0
"SOUP,OYSTER STEW,CND,PREP W/ EQ VOLUME H2O",24.0,0.87,1.69,1.59,407.0,0.0
"SOUP,PEA,GRN,CND,PREP W/ EQ VOLUME H2O",61.0,3.2,9.88,1.09,336.0,0.0
"SOUP,PEA,SPLIT W/ HAM,CND,PREP W/ EQ VOLUME H2O",75.0,4.08,11.05,1.74,398.0,0.0
"SOUP,PEPPERPOT,CND,PREP W/ EQ VOLUME H2O",41.0,2.54,3.75,1.85,385.0,0.0
"SOUP,CRM OF POTATO,CND,PREP W/ EQ VOLUME H2O",30.0,0.72,4.7,0.97,238.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SIZZLIN' STEAK- GRLD STK CHILI BNS",81.0,6.53,11.02,1.22,355.0,0.0
"SOUP,SCOTCH BROTH,CND,PREP W/ EQ VOLUME H2O",33.0,2.03,3.87,1.07,415.0,0.0
"SOUP,CRM OF SHRIMP,CND,PREP W/ EQ VOLUME H2O",36.0,1.11,3.27,2.07,391.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SLOW RSTD BF W/ MUSHROOMS SOUP",48.0,3.27,7.35,0.61,339.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SMOKED CHICK W/ RSTD CORN CHOWDER",84.0,4.08,7.76,4.08,363.0,0.0
"CAMPBELL'S CHUNKY SOUPS,SPLIT PEA 'N' HAM SOUP",78.0,4.9,12.24,1.02,318.0,0.0
"SOUP,STOCKPOT,CND,PREP W/ EQ VOLUME H2O",40.0,1.97,4.65,1.58,424.0,0.0
"SOUP,TOMATO BF W/ NOODLE,CND,PREP W/ EQ VOLUME H2O",56.0,1.78,8.44,1.71,367.0,0.0
"CAMPBELL'S CHUNKY SOUPS,STEAK 'N' POTATO SOUP",49.0,3.27,7.35,0.82,376.0,0.0
"SOUP,TOMATO RICE,CND,PREP W/ EQ VOLUME H2O",47.0,0.82,8.54,1.06,319.0,0.0
"CAMPBELL'S CHNKY SOUPS,TANTALIZIN' TRKY - TRKY CHILI BNS SP",78.0,6.12,11.02,1.02,359.0,0.0
"SOUP,TURKEY NOODLE,CND,PREP W/ EQ VOLUME H2O",28.0,1.6,3.54,0.82,334.0,0.0
"SOUP,TURKEY VEG,CND,PREP W/ EQ VOLUME H2O",30.0,1.28,3.58,1.26,376.0,0.0
"SOUP,VEGETARIAN VEG,CND,PREP W/ EQ VOLUME H2O",28.0,0.86,4.89,0.79,338.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S LO NA SOUPS,CHICK BROTH",10.0,1.01,0.34,0.34,47.0,0.0
"SOUP,VEG BF,CND,PREP W/ EQ VOLUME H2O",31.0,2.23,4.06,0.76,349.0,0.0
"SOUP,VEG W/ BF BROTH,CND,PREP W/ EQ VOLUME H2O",33.0,1.21,5.35,0.78,253.0,0.0
"SOUP,BEAN W/ BACON,DRY,MIX,PREP W/ H2O",40.0,2.07,6.18,0.81,350.0,0.0
"SOUP,BF BROTH OR BOUILLON,PDR,PREP W/H2O",3.0,0.21,0.25,0.08,382.0,0.0
"SOUP,BF BROTH,CUBED,PREP W/H2O",3.0,0.21,0.25,0.08,260.0,0.0
"SOUP,CHICK BROTH OR BOUILLON,DRY,PREP W/ H2O",4.0,0.28,0.3,0.23,401.0,0.0
"SOUP,CHICK BROTH CUBES,DRY,PREP W/ H2O",5.0,0.39,0.62,0.12,326.0,0.0
"CAMPBELL'S LO NA SOUPS,CHICK W/ NOODLES SOUP",52.0,3.93,5.57,1.48,46.0,0.0
"SOUP,CRM OF CHICK,DRY,MIX,PREP W/ H2O",41.0,0.68,5.11,2.04,454.0,0.0
"SOUP,CHICK RICE,DRY,MIX,PREP W/ H2O",24.0,0.97,3.66,0.57,388.0,0.0
"CAMPBELL'S LO NA SOUPS,CRM OF MUSHROOM SOUP",54.0,1.01,6.38,2.68,20.0,0.0
"SOUP,CONSOMME W/ GELATIN,DRY,MIX,PREP W/ H2O",7.0,0.87,0.78,0.08,1325.0,0.0
"SOUP,MUSHROOM,DRY,MIX,PREP W/ H2O",33.0,0.66,4.4,1.82,403.0,0.0
"SOUP,ONION,DRY,MIX,PREP W/ H2O",12.0,0.32,2.77,0.01,346.0,0.0
"SOUP,OXTAIL,DRY,MIX,PREP W/ H2O",28.0,1.11,3.54,1.01,475.0,0.0
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CHICK NOODLE SOUP",30.0,1.63,4.08,0.82,355.0,0.0
"SOUP,TOMATO,DRY,MIX,PREP W/ H2O",38.0,0.93,7.17,0.61,356.0,0.0
"SOUP,TOMATO VEG,DRY,MIX,PREP W/ H2O",22.0,0.79,4.04,0.34,132.0,0.0
"SOUP,VEG BF,DRY,MIX,PREP W/ H2O",21.0,1.16,3.17,0.44,312.0,0.0
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,CHICK RICE SOUP",30.0,0.82,5.71,0.41,327.0,0.0
"CAMPBELL'S RED & WHITE - MCRWVEABLE BOWLS,CREAMY TOMATO SOUP",64.0,1.22,10.2,2.04,306.0,0.0
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,TOMATO SOUP",44.0,1.22,9.8,0.0,322.0,0.0
"CAMPBELL'S RED & WHITE - MICROWAVEABLE BOWLS,VEG BF SOUP",34.0,2.04,6.12,0.2,359.0,0.0
"CAMPBELL'S SEL GOLD LABEL SOUPS,BLNDED RED PEPP BLK BEAN SP",49.0,1.22,9.39,0.61,335.0,0.0
"CAMPBELL'S SEL GOLD LABEL SOUPS,CRMY PORTOBELLO MSHRM SOUP",42.0,1.22,5.71,1.63,322.0,0.0
"CAMPBELL'S SEL GOLD LABEL SOUPS,GOLDEN BUTTERNUT SQSH SOUP",37.0,0.82,7.35,0.61,331.0,0.0
"CAMPBELL BOWLS,98% FAT FREE NEW ENGLAND CLAM CHOWDER",45.0,2.45,6.94,1.02,196.0,0.0
"CAMPBELL'S SEL MCRWVABLE BOWLS,CHICK W/ EGG NOODLES SOUP",49.0,3.27,4.9,1.63,196.0,0.0
"CAMPBELL'S SEL MCRWVABLE BWLS,ITAL SSGE PSTA & PEPRNI SOUP",53.0,2.86,6.12,2.45,355.0,0.0
"CAMPBELL'S SEL MCRWVABLE BOWLS,ITALIAN-STYLE WEDDING SOUP",53.0,2.86,6.53,1.63,196.0,0.0
"CAMPBELL'S SEL MCRWVABLE BOWLS,MEX STYLE CHICK TORTILLA SOUP",52.0,3.27,7.76,1.02,196.0,0.0
"CAMPBELL'S SEL MICROWAVEABLE BOWLS,MINESTRONE SOUP",39.0,1.63,7.76,0.41,196.0,0.0
"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",45.0,2.45,6.12,0.41,196.0,0.0
"SOUP,CHICK NOODLE,DRY,MIX,PREP W/ H2O",23.0,0.84,3.67,0.55,229.0,0.0
"CAMPBELL'S SEL SOUP,98% FAT FREE NEW ENGLAND CLAM CHOWDER",45.0,2.45,6.94,1.02,196.0,0.0
"CAMPBELL'S SEL SOUP,BF W/ RSTD BARLEY SOUP",54.0,3.67,8.57,0.41,196.0,0.0
"CAMPBELL'S SEL SOUP,CHICK & PASTA W/ RSTD GARLIC SOUP",46.0,3.27,7.35,0.41,335.0,0.0
"CAMPBELL'S SEL SOUP,CHICK VEG MEDLEY SOUP",49.0,2.86,7.76,0.41,196.0,0.0
"CAMPBELL'S SEL SOUP,CREAMY CHICK ALFREDO SOUP",90.0,4.08,6.12,5.31,196.0,0.0
"CAMPBELL'S SEL SOUP,HEALTHY REQUEST MEX STYLE CHICK TORTILLA",57.0,3.27,8.98,0.82,167.0,0.0
"CAMPBELL'S SEL SOUP,ITALIAN SAUSAGE W/ PASTA PEPPERONI SOUP",65.0,2.86,7.35,2.86,196.0,0.0
"CAMPBELL'S SEL SOUP,ITALIAN-STYLE WEDDING SOUP",53.0,2.86,5.31,2.04,196.0,0.0
"CAMPBELL'S SEL SOUP,MEDITERRANEAN MEATBALL BOWTIE PASTA SOUP",49.0,2.86,6.12,1.63,196.0,0.0
"CAMPBELL'S SEL SOUP,MEXICAN STYLE CHICK TORTILLA SOUP",45.0,2.86,6.12,0.82,196.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,MINESTRONE SOUP",41.0,2.04,8.16,0.2,196.0,0.0
"CAMPBELL SOUP COMPANY SEL SOUP,NEW ENGLAND CLAM CHOWDER",70.0,2.33,5.68,4.23,194.0,0.0
"CAMPBELL'S SEL SOUP,POTATO BROCCOLI CHS SOUP",61.0,1.22,6.12,3.67,196.0,0.0
"SOUP,BF MUSHROOM,CND,PREP W/ EQ VOLUME H2O",30.0,2.37,2.6,1.23,386.0,0.0
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ LONG GRAIN WILD RICE SOUP",45.0,2.45,8.16,0.2,196.0,0.0
"SOUP,CHICK MUSHROOM,CND,PREP W/ EQ VOLUME H2O",54.0,1.8,3.8,3.75,327.0,0.0
"CAMPBELL'S SEL SOUP,RSTD CHICK W/ ROTINI & PENNE PASTA SOUP",37.0,3.27,5.31,0.41,196.0,0.0
"CAMPBELL'S SEL SOUP,SAVORY WHITE BEAN W/ RSTD HAM SOUP",69.0,3.67,12.24,0.61,196.0,0.0
"CAMPBELL SOUP COMPANY SEL SOUP,SLOW RSTD BF & VEG SOUP",43.0,3.25,5.46,0.87,181.0,0.0
"CAMPBELL'S SEL SOUP,SPLIT PEA W/ RSTD HAM SOUP",61.0,3.67,11.84,0.41,196.0,0.0
"SOUP,TOMATO BISQUE,CND,PREP W/ EQ VOLUME H2O",50.0,0.92,9.6,1.02,424.0,0.0
"SOUP,TOMATO,CND,PREP W/EQ VOLUME H2O,COMM",30.0,0.79,6.57,0.28,190.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,TOMATO GARDEN SOUP",41.0,1.22,8.57,0.2,196.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S SEL SOUP,VEG MEDLEY SOUP",33.0,1.22,6.53,0.2,196.0,0.0
"SOUP,RAMEN NOODLE,ANY FLAVOR,DRY",436.0,10.48,63.42,15.63,2036.0,0.0
"SOUP,BROCCOLI CHS,CND,COND,COMM",87.0,2.1,7.7,5.3,661.0,0.0
"CAMPBELL'S SOUP AT HAND,BLENDED VEG MEDLEY SOUP",33.0,0.98,6.23,0.49,292.0,0.0
"CAMPBELL'S SOUP AT HAND,CHICK & STARS SOUP",21.0,0.98,3.28,0.49,292.0,0.0
"CAMPBELL'S SOUP AT HAND,CHICK W/ MINI NOODLES SOUP",26.0,1.31,3.61,0.66,321.0,0.0
"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",47.0,0.98,5.57,2.3,292.0,0.0
"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",43.0,1.31,4.26,2.95,292.0,0.0
"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",62.0,1.31,11.15,1.31,308.0,0.0
"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",24.0,0.98,3.28,0.82,282.0,0.0
"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",40.0,1.31,4.26,1.97,292.0,0.0
"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",20.0,0.98,3.28,0.33,305.0,0.0
"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",51.0,0.66,6.89,2.3,285.0,0.0
"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",25.0,0.0,6.25,0.0,719.0,0.0
"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",25.0,0.0,6.25,0.0,844.0,0.0
"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",40.0,1.67,8.33,0.0,867.0,0.0
"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",25.0,0.0,6.25,0.0,625.0,0.0
"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",38.0,0.0,9.38,0.0,656.0,0.0
"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",25.0,0.0,6.25,0.0,688.0,0.0
"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",25.0,0.0,6.25,0.0,781.0,0.0
"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",50.0,0.0,12.5,0.0,813.0,0.0
"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",25.0,0.0,6.25,0.0,719.0,0.0
"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",5.0,0.0,1.28,0.0,234.0,0.0
"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",5.0,0.0,1.28,0.0,400.0,0.0
"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",45.0,2.45,6.53,1.02,167.0,0.0
"SAUCE,CHS SAU MIX,DRY",438.0,7.68,60.52,18.33,3202.0,0.0
"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",99.0,3.1,7.5,6.3,299.0,0.0
"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80.0,3.0,7.1,4.4,339.0,0.0
"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",80.0,2.7,5.6,5.2,364.0,0.0
"SOUP,SIRLOIN BURGER W/VEG,RTS,SINGLE BRAND",77.0,4.2,6.8,3.7,361.0,0.0
"SOUP,SPLIT PEA W/ HAM,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",76.0,5.2,11.3,1.1,343.0,0.0
"SOUP,BEAN W/BACON,COND,SINGLE BRAND",117.0,6.5,18.0,2.1,736.0,0.0
"SOUP,BF W/VEG&BARLEY,CND,COND,SINGLE BRAND",61.0,3.9,8.2,1.4,707.0,0.0
"SOUP,CHICK W/STAR-SHAPED PASTA,CND,COND,SINGLE BRAND",50.0,2.3,7.1,1.4,732.0,0.0
"SOUP,CRM OF CHICK,CND,COND,SINGLE BRAND",99.0,2.4,7.7,6.5,788.0,0.0
"SOUP,SPLIT PEA W/HAM&BACON,CND,COND,SINGLE BRAND",140.0,8.6,21.2,2.3,729.0,0.0
"SOUP,VEG BF,CND,COND,SINGLE BRAND",53.0,3.8,7.7,0.8,555.0,0.0
"SOUP,CHICK VEG,CHUNKY,RED FAT,RED NA,RTS,SINGLE BRAND",40.0,2.7,6.3,0.5,192.0,0.0
"SOUP,VEG BF,MICROWAVABLE,RTS,SINGLE BRAND",44.0,6.2,3.3,0.7,376.0,0.0
"SOUP,BF & VEG,CND,RTS",47.0,3.2,6.05,1.08,301.0,0.0
