food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.15,4.8,3.25,43.0,0.0
"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.0,3.28,4.65,3.66,49.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,3.3,4.8,1.98,47.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51.0,3.48,4.97,1.92,52.0,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,3.95,5.49,1.98,59.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,3.37,4.99,0.97,44.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43.0,3.48,4.97,0.97,52.0,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48.0,3.93,5.52,1.17,58.0,0.0
"MILK,NONFAT,FLUID,W/ ADDED VIT A & VIT D (FAT FREE OR SKIM)",34.0,3.37,4.96,0.08,42.0,0.0
"MILK,NONFAT,FLUID,W/ ADDED NONFAT MILK SOL,VIT A & VIT D",37.0,3.57,5.02,0.25,53.0,0.0
"MILK,NONFAT,FLUID,PROT FORT,W/ ADD VIT A & D (FAT FREE/SKIM)",41.0,3.96,5.56,0.25,59.0,0.0
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",40.0,3.31,4.79,0.88,105.0,0.0
"MILK,LO NA,FLUID",61.0,3.1,4.46,3.46,3.0,0.0
"MILK,DRY,WHL,W/ ADDED VITAMIN D",496.0,26.32,38.42,26.71,371.0,0.0
"MILK,DRY,NONFAT,REG,WO/ ADDED VIT A & VITAMIN D",362.0,36.16,51.98,0.77,535.0,0.0
"MILK,DRY,NONFAT,INST,W/ ADDED VIT A & VITAMIN D",358.0,35.1,52.19,0.72,549.0,0.0
"MILK,DRY,NONFAT,CA RED",354.0,35.5,51.8,0.2,2280.0,0.0
"MILK,BUTTERMILK,DRIED",387.0,34.3,49.0,5.78,517.0,0.0
"MILK,CND,COND,SWTND",321.0,7.91,54.4,8.7,127.0,0.0
"MILK,CND,EVAP,W/ ADDED VITAMIN D & WO/ ADDED VIT A",134.0,6.81,10.04,7.56,106.0,0.0
"MILK,CND,EVAP,NONFAT,W/ ADDED VIT A & VITAMIN D",78.0,7.55,11.35,0.2,115.0,0.0
"MILK,CHOC,FLUID,COMM,WHL,W/ ADDED VIT A & VITAMIN D",83.0,3.17,10.34,3.39,60.0,0.0
"MILK,CHOC,FLUID,COMM,RED FAT",76.0,2.99,12.13,1.9,66.0,0.0
"MILK,CHOC,FLUID,COMM,LOWFAT,W/ ADDED VIT A & VITAMIN D",63.0,3.24,10.44,1.0,61.0,0.0
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",77.0,3.52,10.74,2.34,44.0,0.0
"MILK,GOAT,FLUID,W/ ADDED VITAMIN D",69.0,3.56,4.45,4.14,50.0,0.0
"MILK,HUMAN,MATURE,FLUID",70.0,1.03,6.89,4.38,17.0,0.0
"MILK,INDIAN BUFFALO,FLUID",97.0,3.75,5.18,6.89,52.0,0.0
"MILK,SHEEP,FLUID",108.0,5.98,5.36,7.0,44.0,0.0
"MILK SHAKES,THICK CHOC",119.0,3.05,21.15,2.7,111.0,0.0
"MILK SHAKES,THICK VANILLA",112.0,3.86,17.75,3.03,95.0,0.0
"WHEY,ACID,FLUID",24.0,0.76,5.12,0.09,48.0,0.0
"WHEY,ACID,DRIED",339.0,11.73,73.45,0.54,968.0,0.0
"WHEY,SWEET,FLUID",27.0,0.85,5.14,0.36,54.0,0.0
"WHEY,SWEET,DRIED",353.0,12.93,74.46,1.07,1079.0,0.0
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61.0,3.47,4.66,3.25,46.0,0.0
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63.0,5.25,7.04,1.55,70.0,0.0
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56.0,5.73,7.68,0.18,77.0,0.0
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85.0,4.93,13.8,1.25,66.0,0.0
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99.0,3.98,18.64,1.15,53.0,0.0
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",102.0,4.37,19.05,1.08,58.0,0.0
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",105.0,4.86,18.6,1.41,65.0,0.0
"EGG,WHL,RAW,FRSH",143.0,12.56,0.72,9.51,142.0,0.0
"EGG,WHITE,RAW,FRESH",52.0,10.9,0.73,0.17,166.0,0.0
"EGG,YOLK,RAW,FRSH",322.0,15.86,3.59,26.54,48.0,0.0
"EGG,YOLK,RAW,FROZEN",303.0,15.5,1.15,25.6,67.0,0.0
"EGG,YOLK,RAW,FRZ,SUGARED",307.0,13.8,10.8,22.75,67.0,0.0
"EGG,WHL,CKD,FRIED",196.0,13.61,0.83,14.84,207.0,0.0
"EGG,WHL,CKD,HARD-BOILED",155.0,12.58,1.12,10.61,124.0,0.0
"EGG,WHOLE,COOKED,OMELET",154.0,10.57,0.64,11.66,155.0,0.0
"EGG,WHL,CKD,POACHED",143.0,12.51,0.71,9.47,297.0,0.0
"EGG,WHL,CKD,SCRMBLD",149.0,9.99,1.61,10.98,145.0,0.0
"EGG,WHOLE,DRIED",594.0,47.35,4.95,40.95,523.0,0.0
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",615.0,48.17,2.38,43.95,548.0,0.0
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",351.0,76.92,4.17,0.04,1156.0,0.0
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",376.0,82.4,4.47,0.04,1238.0,0.0
"EGG,YOLK,DRIED",666.0,34.25,3.6,55.8,135.0,0.0
"EGG,DUCK,WHOLE,FRESH,RAW",185.0,12.81,1.45,13.77,146.0,0.0
"EGG,GOOSE,WHOLE,FRESH,RAW",185.0,13.87,1.35,13.27,138.0,0.0
"EGG,QUAIL,WHOLE,FRESH,RAW",158.0,13.05,0.41,11.09,141.0,0.0
"EGG,TURKEY,WHL,FRSH,RAW",171.0,13.68,1.15,11.88,151.0,0.0
"EGG SUBSTITUTE,POWDER",444.0,55.5,21.8,13.0,800.0,0.0
"BUTTER,WITHOUT SALT",717.0,0.85,0.06,81.11,11.0,0.0
"CHEESE,PARMESAN,SHREDDED",415.0,37.86,3.41,27.34,1696.0,0.0
