food_name,calories_kcal,protein_g,carbs_g,fat_g,sodium_mg,sugar_g,calorie_density,protein_ratio,carbs_ratio,fats_ratio,sugar_ratio
"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",371.0,18.13,3.7,31.79,1671.0,0.0,3.71,4.886792439658241,0.9973045795220901,8.568733130542498,0.0
"CHEESE,PAST PROCESS,PIMENTO",375.0,22.13,1.73,31.2,1428.0,0.0,3.75,5.901333317596444,0.4613333321031111,8.319999977813334,0.0
"CHEESE,PAST PROCESS,SWISS",334.0,24.73,2.1,25.01,1370.0,0.0,3.34,7.404191594598229,0.6287425130875973,7.488023929676575,0.0
"CHEESE FD,COLD PK,AMERICAN",331.0,19.66,8.32,24.46,966.0,0.0,3.31,5.939577021330583,2.513595158569199,7.389728074351274,0.0
"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",330.0,16.86,8.56,25.63,1284.0,0.0,3.3,5.1090908936088155,2.5939393860789717,7.766666643131313,0.0
"CHEESE FD,PAST PROCESS,SWISS",323.0,21.92,4.5,24.14,1552.0,0.0,3.23,6.786377687967872,1.393188850175886,7.473684187387974,0.0
"CHEESE SPRD,PAST PROCESS,AMERICAN",290.0,16.41,8.73,21.23,1625.0,0.0,2.9,5.658620670142687,3.010344817205708,7.320689629928657,0.0
"CREAM,FLUID,HALF AND HALF",130.0,2.96,4.3,11.5,41.0,0.0,1.3,2.2769230594082845,3.307692282248521,8.84615377810651,0.0
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",195.0,2.7,3.66,19.31,40.0,0.0,1.95,1.384615377514793,1.8769230672978305,9.902564051781722,0.0
"CREAM,FLUID,LT WHIPPING",292.0,2.17,2.96,30.91,34.0,0.0,2.92,0.7431506823864702,1.0136986266654155,10.585616402104053,0.0
"CREAM,FLUID,HVY WHIPPING",345.0,2.05,2.79,37.0,38.0,0.0,3.45,0.5942028968283973,0.8086956498298677,10.724637650073515,0.0
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",257.0,3.2,12.49,22.22,8.0,0.0,2.57,1.2451361819255402,4.859922160078124,8.645914363245469,0.0
"CREAM,SOUR,RED FAT,CULTURED",135.0,2.94,4.26,12.0,89.0,0.0,1.35,2.177777761646091,3.1555555321810704,8.888888823045269,0.0
"CREAM,SOUR,CULTURED",193.0,2.07,2.88,19.73,80.0,0.0,1.93,1.0725388545464307,1.4922279715428601,10.222797874493276,0.0
EGGNOG,88.0,4.55,8.05,4.19,54.0,0.0,0.88,5.170454486699381,9.147727168775829,4.761363582257232,0.0
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",178.0,3.25,4.68,16.57,48.0,0.0,1.78,1.8258426863716704,2.629213468375205,9.308988711747254,0.0
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",63.0,3.33,4.74,3.46,57.0,0.0,0.63,5.28571420181406,7.523809404383979,5.492063404887883,0.0
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",63.0,3.33,4.74,3.4,57.0,0.0,0.63,5.28571420181406,7.523809404383979,5.396825311161503,0.0
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",136.0,1.0,11.38,9.97,79.0,0.0,1.36,0.7352941122404845,8.367646997296713,7.33088229903763,0.0
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",136.0,1.0,11.38,9.97,79.0,0.0,1.36,0.7352941122404845,8.367646997296713,7.33088229903763,0.0
"CREAM SUBSTITUTE,POWDERED",545.0,4.79,54.88,35.48,181.0,0.0,5.45,0.8788990809561485,10.069724752165643,6.5100917311741435,0.0
"DESSERT TOPPING,POWDERED",577.0,4.9,52.54,39.92,122.0,0.0,5.77,0.84922010251435,9.105719221653866,6.918544182116908,0.0
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",194.0,3.61,17.13,12.72,66.0,0.0,1.94,1.860824732676161,8.829896861701563,6.556700997130408,0.0
"DESSERT TOPPING,PRESSURIZED",264.0,0.98,16.07,22.3,62.0,0.0,2.64,0.3712121198060147,6.087121189063935,8.446969664973599,0.0
"DESSERT TOPPING,SEMI SOLID,FRZ",318.0,1.25,23.05,25.31,25.0,0.0,3.18,0.3930817597701831,7.248427650162177,7.959119471826669,0.0
"SOUR CRM,IMITN,CULTURED",208.0,2.4,6.63,19.52,102.0,0.0,2.08,1.1538461482988165,3.1874999846754806,9.384615339497042,0.0
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",61.0,1.75,6.16,3.41,78.0,0.0,0.61,2.868852411986026,10.098360490190812,5.590163842784199,0.0
"MILK,WHL,3.25% MILKFAT,W/ ADDED VITAMIN D",61.0,3.15,4.8,3.25,43.0,0.0,0.61,5.163934341574847,7.8688523300188145,5.327868765116905,0.0
"MILK,PRODUCER,FLUID,3.7% MILKFAT",64.0,3.28,4.65,3.66,49.0,0.0,0.64,5.124999919921876,7.265624886474612,5.718749910644533,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED VIT A & VITAMIN D",50.0,3.3,4.8,1.98,47.0,0.0,0.5,6.599999868000003,9.599999808000003,3.959999920800002,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,W/ ADDED NFMS, VIT A & VIT D",51.0,3.48,4.97,1.92,52.0,0.0,0.51,6.823529277970014,9.745097848135337,3.7647058085351808,0.0
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ ADDED VIT A & D",56.0,3.95,5.49,1.98,59.0,0.0,0.56,7.053571302614799,9.803571253507656,3.535714222576532,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADDED VIT A & VITAMIN D",42.0,3.37,4.99,0.97,44.0,0.0,0.42,8.023809332766445,11.88095209807257,2.3095237545351486,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ ADD NONFAT MILK SOL,VIT A/ D",43.0,3.48,4.97,0.97,52.0,0.0,0.43,8.093023067604115,11.558139266089784,2.2558139010275835,0.0
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ ADDED VIT A & D",48.0,3.93,5.52,1.17,58.0,0.0,0.48,8.187499829427088,11.49999976041667,2.437499949218751,0.0
